,location,size,total_sqft,bath,price,bhk
6416,Rayasandra,2 BHK,1198.0,2.0,54.0,2
6417,Ejipura,2 BHK,1190.0,2.0,70.0,2
6418,"Judicial Layout, Kanakapura Road, ",2 BHK,900.0,2.0,41.0,2
6419,J.P.nagar 6th Phase.Sarakki Nagar,4 BHK,2690.0,4.0,185.0,4
6420,Kanakapura,2 BHK,1340.0,2.0,65.0,2
6421,Bommenahalli,4 Bedroom,2940.0,3.0,2250.0,4
6422,Giri Nagar,6 Bedroom,2400.0,6.0,400.0,6
6424,Yelahanka,2 BHK,1260.0,2.0,59.2,2
6425,Talaghattapura,3 BHK,2254.0,3.0,153.0,3
6426,Old Madras Road,3 BHK,2990.0,5.0,210.0,3
6427,1st Block BEL Layout,4 Bedroom,1800.0,5.0,250.0,4
6428,JP Nagar,2 BHK,820.0,2.0,45.0,2
6429,Electronic City,2 BHK,1296.0,2.0,65.0,2
6430,Uttarahalli,2 BHK,1190.0,2.0,53.55,2
6431,Whitefield,2 BHK,1173.0,2.0,77.0,2
6432,Sarjapura - Attibele Road,3 Bedroom,1800.0,3.0,90.0,3
6433,Yelahanka,2 BHK,1102.0,2.0,52.0,2
6434,Sarjapur,2 BHK,913.0,2.0,36.0,2
6435,Hormavu,3 BHK,1176.0,2.0,35.27,3
6436,Prithvi Layout,3 BHK,1620.0,3.0,65.0,3
6437,Billekahalli,3 BHK,2968.0,3.0,225.0,3
6438,Yelahanka,2 BHK,1519.0,2.0,65.0,2
6439,Hosur Road,2 BHK,1345.0,2.0,106.0,2
6440,Dodsworth Layout,3 BHK,1594.0,3.0,99.0,3
6441,Kaverappa Layout,2 BHK,1250.0,2.0,68.0,2
6442,Haralur Road,2 BHK,1056.0,2.0,60.0,2
6443,Whitefield,3 Bedroom,1200.0,3.0,68.4,3
6444,Kothnur Narayanapura,2 Bedroom,1290.0,1.0,77.5,2
6445,Amruthnagar,2 BHK,1150.0,2.0,48.0,2
6446,Ambedkar Colony,2 BHK,1464.0,2.0,145.0,2
6447,Anekal,4 Bedroom,1200.0,2.0,36.0,4
6448,Gollarapalya Hosahalli,2 BHK,861.0,2.0,36.5,2
6449,Kundalahalli,2 BHK,1047.0,2.0,82.62,2
6450,Lakshmipura,2 Bedroom,1200.0,2.0,75.0,2
6451,Kirloskar Layout,10 Bedroom,1200.0,10.0,190.0,10
6452,Hongasandra,2 BHK,1065.0,2.0,45.0,2
6453,Rajaji Nagar,3 BHK,2300.0,3.0,369.0,3
6454,Ramamurthy Nagar,2 BHK,1000.0,2.0,62.0,2
6455,Lingadheeranahalli,3 BHK,1682.0,3.0,113.0,3
6456,Harlur,3 BHK,1756.0,3.0,131.0,3
6457,BEL Road,5 Bedroom,4000.0,4.0,1000.0,5
6458,Vignana Nagar,4 BHK,1050.0,4.0,90.0,4
6459,Vittasandra,2 BHK,1238.0,2.0,67.32,2
6460,Dasanapura,2 BHK,814.0,2.0,42.0,2
6461,Dodda Nekkundi,2 BHK,1145.0,2.0,46.5,2
6462,Varthur,2 BHK,965.0,2.0,34.0,2
6463,Doddabele,2 BHK,750.0,2.0,36.0,2
6464,Banashankari,3 BHK,1300.0,2.0,55.0,3
6465,1st Phase JP Nagar,3 BHK,1590.0,3.0,131.0,3
6466,Begur Road,1 BHK,644.0,1.0,40.0,1
6467,Whitefield,2 BHK,982.0,2.0,37.0,2
6468,Indira Nagar,2 BHK,1260.0,2.0,100.0,2
6469,Rayasandra,3 BHK,1555.0,3.0,75.17,3
6470,Race Course Road,4 Bedroom,2500.0,4.0,450.0,4
6471,Kaggadasapura,2 BHK,1225.0,2.0,48.0,2
6472,Electronics City Phase 1,2 BHK,1085.0,2.0,46.0,2
6473,Rajaji Nagar,3 BHK,1640.0,3.0,220.0,3
6474,Thanisandra,3 BHK,1595.0,3.0,110.0,3
6475,Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,40.44,2
6476,Yelahanka,3 BHK,1859.0,3.0,108.0,3
6477,9th Phase JP Nagar,2 BHK,1079.0,2.0,60.0,2
6478,Shivaji Nagar,2 BHK,550.0,1.0,27.0,2
6479,Whitefield,2 BHK,1118.0,2.0,42.0,2
6480,CV Raman Nagar,2 BHK,1198.0,2.0,60.0,2
6482,Thigalarapalya,3 BHK,1830.0,4.0,135.0,3
6483,Banashankari Stage VI,2 BHK,1160.0,2.0,59.0,2
6484,Srirampuram,3 BHK,1485.0,2.0,156.0,3
6485,Ejipura,3 BHK,2070.0,3.0,135.0,3
6486,Basaveshwara Nagar,6 Bedroom,750.0,4.0,150.0,6
6487,Kannamangala,2 BHK,957.0,2.0,52.5,2
6488,Basaveshwara Nagar,5 Bedroom,2400.0,4.0,310.0,5
6489,Bannerghatta Road,2 BHK,1268.0,2.0,69.0,2
6490,Bannerghatta Road,3 BHK,1450.0,2.0,87.0,3
6491,Manorayana Palya,3 BHK,1600.0,2.0,75.0,3
6492,Uttarahalli,3 BHK,1330.0,2.0,57.0,3
6493,Jakkur,3 BHK,1355.0,2.0,65.0,3
6494,Horamavu Banaswadi,2 BHK,1272.0,2.0,51.5,2
6495,Abbaiah Reddy Layout,2 BHK,1100.0,2.0,38.49,2
6496,Sarjapur  Road,3 BHK,1220.0,3.0,58.0,3
6497,Chikkalasandra,2 BHK,1075.0,2.0,46.76,2
6498,Lingarajapuram,2 BHK,800.0,2.0,55.0,2
6499,Vasanthapura,2 BHK,995.0,2.0,34.82,2
6500,Vasantha Vallabha Nagar,2 BHK,900.0,1.0,44.0,2
6501,Haralur Road,2 BHK,1140.0,2.0,42.0,2
6502,Ganga Nagar,3 BHK,1480.0,2.0,125.0,3
6503,Padmanabhanagar,3 BHK,1710.0,2.0,90.63,3
6504,Talaghattapura,3 BHK,2106.0,3.0,148.0,3
6505,Yeshwanthpur,9 Bedroom,2400.0,6.0,270.0,9
6506,Sadahalli,3 Bedroom,3800.0,2.0,130.0,3
6507,Vajarahalli,3 Bedroom,800.0,3.0,120.0,3
6508,Marathahalli,2 BHK,1602.0,2.0,104.0,2
6509,Sarjapur  Road,3 BHK,1660.0,2.0,116.0,3
6510,Electronic City Phase II,3 BHK,1549.0,3.0,80.0,3
6511,Marathahalli,1 BHK,700.0,1.0,38.0,1
6512,Balagere,2 BHK,1012.0,2.0,64.0,2
6513,Marathahalli,3 BHK,1469.0,3.0,89.0,3
6514,Whitefield,2 BHK,1216.0,2.0,69.0,2
6515,Electronic City Phase II,2 BHK,1065.0,2.0,56.13,2
6516,Thanisandra,3 BHK,1411.0,3.0,93.15,3
6517,Pai Layout,2 BHK,1400.0,2.0,57.5,2
6518,Hoskote,3 BHK,1250.0,3.0,29.0,3
6519,Haralur Road,2 BHK,1245.0,2.0,62.0,2
6520,Choodasandra,2 BHK,1115.0,2.0,50.0,2
6521,Vidyaranyapura,2 BHK,1000.0,2.0,35.0,2
6522,Panathur,3 BHK,1580.0,3.0,71.89,3
6523,Subramanyapura,3 BHK,1800.0,3.0,90.0,3
6524,Mathikere,2 BHK,1500.0,2.0,130.0,2
6525,Chandapura,1 BHK,645.0,1.0,16.45,1
6526,Kothannur,3 BHK,1275.0,3.0,44.0,3
6527,Kasavanhalli,3 BHK,1494.0,3.0,82.0,3
6528,Bhoganhalli,3 BHK,1949.0,3.0,129.0,3
6529,BTM Layout,2 BHK,1020.0,2.0,46.5,2
6530,Mysore Road,2 BHK,883.0,2.0,45.0,2
6531,Old Airport Road,4 BHK,3200.0,4.0,280.0,4
6532,Uttarahalli,6 Bedroom,1680.0,6.0,125.0,6
6533,Mysore Road,12 Bedroom,2232.0,6.0,300.0,12
6534,Anand nagar,3 BHK,2010.0,3.0,125.0,3
6535,Yeshwanthpur,2 BHK,1240.0,2.0,80.0,2
6536,6th Phase JP Nagar,2 BHK,1213.0,2.0,63.0,2
6537,Hegde Nagar,3 BHK,1835.0,3.0,88.0,3
6538,Hoskote,9 Bedroom,1800.0,10.0,185.0,9
6539,Bannerghatta Road,4 BHK,2932.0,5.0,195.0,4
6540,Whitefield,4 Bedroom,3425.0,5.0,250.0,4
6541,Gottigere,2 BHK,945.0,2.0,45.0,2
6542,Sathya Layout,3 BHK,1504.0,2.0,100.0,3
6543,Lakshminarayana Pura,3 BHK,1569.0,3.0,150.0,3
6544,Harlur,3 BHK,1755.0,3.0,130.0,3
6545,Vijayanagar,3 BHK,1760.0,3.0,140.0,3
6546,Hoodi,2 BHK,1240.0,2.0,43.94,2
6547,Electronics City Phase 1,3 BHK,1450.0,3.0,72.54,3
6548,5th Phase JP Nagar,2 BHK,1000.0,2.0,48.0,2
6549,Shivaji Nagar,1 Bedroom,3820.0,1.0,306.0,1
6550,Thyagaraja Nagar,5 BHK,2000.0,4.0,145.0,5
6551,Choodasandra,2 BHK,1215.0,2.0,59.0,2
6552,5 Bedroom Farm House in Lakshmipura,5 Bedroom,,6.0,550.0,5
6553,Yelachenahalli,3 BHK,1330.0,3.0,73.5,3
6554,Raja Rajeshwari Nagar,2 BHK,1178.0,2.0,75.0,2
6555,Hulimavu,4 Bedroom,1500.0,4.0,192.0,4
6556,Shree Ananth Nagar Layout,2 BHK,2040.0,2.0,59.0,2
6557,Bellandur,3 BHK,2000.0,3.0,85.0,3
6558,Shanti Nagar,3 BHK,1602.0,2.0,165.0,3
6559,2nd Stage Arekere Mico Layout,4 Bedroom,1200.0,4.0,130.0,4
6560,Parappana Agrahara,2 BHK,1194.0,2.0,46.0,2
6561,Jayamahal,3 BHK,1800.0,3.0,220.0,3
6562,Dasarahalli,3 Bedroom,2400.0,2.0,152.0,3
6563,Sarjapur  Road,3 BHK,1700.0,3.0,108.0,3
6564,Jigani,3 BHK,1200.0,3.0,65.0,3
6565,Veer Sandra,3 Bedroom,1500.0,3.0,72.0,3
6566,Karuna Nagar,3 Bedroom,1240.0,3.0,165.0,3
6567,Whitefield,3 Bedroom,3000.0,3.0,400.0,3
6568,Kanakpura Road,3 BHK,1737.0,3.0,85.0,3
6569,TC Palaya,2 Bedroom,900.0,2.0,55.0,2
6570,Chennappa Layout,3 BHK,1280.0,2.0,48.0,3
6571,CV Raman Nagar,2 BHK,1560.0,2.0,85.0,2
6572,Kambipura,2 BHK,883.0,2.0,44.0,2
6573,Kengeri Satellite Town,2 BHK,750.0,2.0,33.0,2
6574,Brookefield,4 BHK,2400.0,3.0,140.0,4
6575,Bhuvaneshwari Nagar,2 BHK,900.0,2.0,45.0,2
6576,Hormavu,2 BHK,1030.0,2.0,49.35,2
6577,7th Phase JP Nagar,3 BHK,1850.0,3.0,155.0,3
6578,Hennur Road,3 BHK,1831.0,3.0,110.0,3
6579,Raja Rajeshwari Nagar 5th Stage,2 BHK,1095.0,2.0,38.33,2
6580,Electronic City Phase II,3 BHK,1320.0,2.0,38.13,3
6581,Sarjapur  Road,3 BHK,1272.5,2.0,40.72,3
6582,7th Phase JP Nagar,2 BHK,1000.0,2.0,61.0,2
6583,Budigere,3 BHK,1820.0,3.0,85.4,3
6584,Bisuvanahalli,3 BHK,1075.0,2.0,41.0,3
6585,TC Palaya,3 Bedroom,1500.0,3.0,83.0,3
6586,Electronics City Phase 1,1 RK,360.0,1.0,16.9,1
6587,Kadugodi,1 BHK,925.0,1.0,40.7,1
6588,Electronic City,2 BHK,1140.0,2.0,70.93,2
6589,Chennammana Kere,2 BHK,1145.0,2.0,58.4,2
6590,RMV Extension Stage 2,3 BHK,1862.0,3.0,120.0,3
6591, Devarachikkanahalli,2 BHK,947.0,2.0,43.0,2
6592,Langford Town,4 BHK,,4.0,211.0,4
6593,Chandra Layout,3 Bedroom,700.0,3.0,195.0,3
6594,Kalena Agrahara,2 BHK,1120.0,2.0,40.0,2
6595,Sadanand Nagar,3 BHK,2700.0,3.0,200.0,3
6596,Kaggadasapura,3 BHK,1805.0,2.0,75.0,3
6597,Basavangudi,2 BHK,1100.0,2.0,93.0,2
6598,Bommenahalli,4 Bedroom,1355.0,3.0,135.0,4
6599,"Whietfield, ",3 BHK,1677.0,3.0,98.0,3
6600,Hosapalya,8 Bedroom,2500.0,8.0,95.0,8
6601,Uttarahalli,3 BHK,1560.0,3.0,74.0,3
6602,Arekere,3 BHK,2060.0,3.0,150.0,3
6603,Koramangala,3 BHK,1716.0,2.0,115.0,3
6604,Harlur,3 BHK,1864.0,3.0,140.0,3
6605,Electronics City Phase 1,1 BHK,638.0,1.0,32.0,1
6606,Sidedahalli,9 Bedroom,1200.0,7.0,95.0,9
6607,Kodigehalli,8 BHK,1150.0,9.0,170.0,8
6608,Chandapura,2 BHK,937.0,2.0,30.0,2
6609,Hennur Gardens,3 BHK,1490.0,2.0,115.0,3
6610,Frazer Town,4 BHK,4856.0,5.0,410.0,4
6611,Whitefield,4 Bedroom,4003.0,6.0,525.0,4
6612,Whitefield,2 BHK,1100.0,2.0,37.0,2
6613,Thigalarapalya,2 BHK,1000.0,2.0,48.53,2
6614,Horamavu Agara,2 BHK,1060.0,2.0,37.0,2
6615,Kundalahalli,2 BHK,1047.0,2.0,91.0,2
6616,Basaveshwara Nagar,2 BHK,1200.0,2.0,80.0,2
6617,Akshaya Nagar,3 BHK,1420.0,2.0,75.0,3
6618,Sarjapur  Road,3 BHK,1539.0,3.0,85.0,3
6619,Tejaswini Nagar,3 BHK,1550.0,3.0,59.0,3
6620,Kasavanhalli,3 BHK,1555.0,3.0,82.0,3
6621,BTM Layout 1stage 9th Main,7 Bedroom,600.0,6.0,138.0,7
6622,Seegehalli,3 BHK,1553.0,3.0,68.0,3
6623,Electronic City Phase II,2 BHK,920.0,2.0,26.0,2
6624,Jeevan bima nagar,3 BHK,1740.0,3.0,120.0,3
6625,OMBR Layout,3 BHK,1855.0,3.0,145.0,3
6626,Kundalahalli,3 BHK,1724.0,3.0,146.0,3
6627,B Narayanapura,2 BHK,1020.0,2.0,60.0,2
6628,Banaswadi,6 Bedroom,1000.0,4.0,150.0,6
6629,Uttarahalli,3 BHK,1250.0,2.0,50.0,3
6630,Sanjay nagar,3 BHK,1450.0,3.0,75.0,3
6631,Thubarahalli,2 BHK,1200.0,2.0,80.0,2
6632,Haralur Road,2 BHK,1140.0,2.0,58.0,2
6633,Hoskote,5 Bedroom,900.0,5.0,110.0,5
6634,Basava Nagar,1 BHK,550.0,1.0,16.0,1
6635,Bannerghatta Road,3 BHK,1450.0,3.0,44.0,3
6637,Kanakpura Road,2 BHK,700.0,2.0,35.07,2
6638,Whitefield,3 Bedroom,1200.0,3.0,56.0,3
6639,Yelahanka,2 BHK,1050.0,2.0,45.0,2
6640,Somasundara Palya,3 BHK,1600.0,3.0,69.0,3
6641,Bannerghatta Road,3 BHK,1625.0,2.0,75.0,3
6642,Volagerekallahalli,2 BHK,1492.0,2.0,65.0,2
6643,Whitefield,4 BHK,2856.0,5.0,157.5,4
6644,Sarjapur  Road,3 BHK,1489.0,2.0,82.0,3
6645,Kanakapura,3 BHK,1560.0,2.0,62.38,3
6646,Haralur Road,2 BHK,1140.0,2.0,42.0,2
6647,Lavakusha Nagar,3 BHK,1431.0,3.0,65.0,3
6648,Lingadheeranahalli,3 BHK,1682.0,3.0,114.0,3
6649,Panathur,2 BHK,1198.0,2.0,86.26,2
6650,Outer Ring Road East,3 Bedroom,3664.0,3.0,325.0,3
6651,Sarjapur  Road,3 BHK,1550.0,2.0,69.75,3
6652,Kodichikkanahalli,2 BHK,1026.0,2.0,45.0,2
6653,Hennur,3 BHK,1260.0,2.0,52.0,3
6654,Singanayakanahalli,2 Bedroom,690.0,2.0,42.0,2
6655,Sarjapur  Road,1 BHK,539.0,1.0,45.0,1
6656,Sarakki Nagar,4 Bedroom,1200.0,4.0,85.0,4
6657,Attibele,3 Bedroom,2400.0,3.0,120.0,3
6658,Thubarahalli,2 BHK,1200.0,2.0,79.55,2
6659,Kundalahalli,4 Bedroom,2500.0,5.0,350.0,4
6660,Sarjapur  Road,3 BHK,1186.0,2.0,40.0,3
6661,Thanisandra,2 BHK,1039.0,2.0,39.5,2
6662,Mahalakshmi Puram,4 Bedroom,1500.0,5.0,233.0,4
6663,Gottigere,5 Bedroom,1500.0,4.0,100.0,5
6664,Malleshwaram,3 BHK,2520.0,3.0,150.0,3
6665,Brookefield,2 BHK,1225.0,2.0,66.5,2
6666,Bommanahalli,2 BHK,1350.0,2.0,72.0,2
6667,Vittal Mallya Road,2 BHK,1030.0,2.0,300.0,2
6668,Whitefield,3 BHK,1550.0,2.0,49.6,3
6669,Hoodi,3 BHK,1490.0,3.0,79.0,3
6670,Brindavan Nagar,3 BHK,1520.0,3.0,111.0,3
6671,Whitefield,4 Bedroom,4100.0,4.0,550.0,4
6672,Dena Bank Colony,3 BHK,1391.0,2.0,64.5,3
6673,Rachenahalli,2 BHK,1200.0,2.0,50.0,2
6674,Kadabagere,4 Bedroom,1200.0,4.0,86.0,4
6675,1st Block HBR Layout,5 Bedroom,2500.0,6.0,500.0,5
6676,Yelahanka,2 BHK,1322.0,2.0,80.0,2
6677,Whitefield,3 BHK,2173.0,3.0,128.0,3
6678,Sarjapur  Road,2 BHK,1200.0,2.0,75.0,2
6679,Thubarahalli,2 BHK,1200.0,2.0,47.0,2
6680,Mysore Road,2 BHK,1170.0,2.0,65.0,2
6681,NRI Layout,2 BHK,1125.0,2.0,45.56,2
6682,Devanahalli,1 BHK,698.5,1.0,28.57,1
6683,Seetharampalya,2 BHK,1250.0,2.0,90.0,2
6684,Chandapura,2 BHK,1025.0,2.0,27.68,2
6685,Yelahanka,3 BHK,1075.0,2.0,36.0,3
6686,High grounds,3 BHK,1900.0,2.0,190.0,3
6687,Whitefield,3 BHK,1435.0,3.0,45.0,3
6688,Electronics City Phase 1,2 BHK,1175.0,2.0,64.98,2
6689,KUDLU MAIN ROAD,3 BHK,1464.0,3.0,56.0,3
6690,Doddabidrakallu,2 BHK,900.0,2.0,33.0,2
6691,Electronics City Phase 1,1 BHK,585.0,1.0,21.0,1
6692,Jigani,4 Bedroom,3170.0,5.0,230.0,4
6693,Shanti Nagar,3 BHK,1602.0,2.0,170.0,3
6694,Thanisandra,2 BHK,1220.0,2.0,42.0,2
6695,Rajaji Nagar,3 BHK,2500.0,3.0,350.0,3
6696,Sarjapur  Road,3 BHK,2145.0,3.0,180.0,3
6697,Bannerghatta Road,2 BHK,960.0,2.0,58.0,2
6698,NGR Layout,1 BHK,907.0,1.0,38.0,1
6699,Old Madras Road,2 BHK,1210.0,2.0,74.0,2
6700,Kammanahalli,4 Bedroom,900.0,4.0,150.0,4
6701,Jnana Ganga Nagar,2 BHK,1230.0,2.0,70.0,2
6702,5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3
6703,Kenchenahalli,2 BHK,1150.0,2.0,58.0,2
6704,Sarjapur,3 BHK,1404.0,2.0,53.35,3
6705,OMBR Layout,2 BHK,1050.0,2.0,48.0,2
6706,Kothanur,8 Bedroom,1020.0,10.0,155.0,8
6707,Yelahanka,2 BHK,1285.0,2.0,56.0,2
6708,Hormavu,2 BHK,1018.0,2.0,50.8,2
6709,Hoskote,3 Bedroom,1200.0,3.0,57.0,3
6710,Sarjapur  Road,2 BHK,1115.0,2.0,50.0,2
6711,Ejipura,3 BHK,1600.0,3.0,95.0,3
6712,9th Phase JP Nagar,2 BHK,1480.0,2.0,80.0,2
6713,Kodichikkanahalli,5 Bedroom,2500.0,7.0,125.0,5
6714,Kaval Byrasandra,1 BHK,480.0,1.0,25.0,1
6715,Akshaya Nagar,3 BHK,1435.0,3.0,53.0,3
6716,Lingarajapuram,1 BHK,450.0,1.0,60.0,1
6717,Austin Town,1 BHK,600.0,2.0,23.0,1
6718,CV Raman Nagar,3 BHK,1590.0,2.0,85.0,3
6720,Nagavara,2 BHK,936.0,2.0,40.2,2
6721,Banashankari,2 BHK,1181.0,2.0,75.0,2
6722,Kengeri,3 BHK,1741.0,3.0,80.0,3
6723,JP Nagar,3 BHK,1750.0,3.0,123.0,3
6724,Varthur Road,2 BHK,1050.0,2.0,42.7,2
6725,Tumkur Road,2 BHK,1027.0,2.0,60.0,2
6726,Geleyara Balaga Layout,2 BHK,596.0,2.0,22.0,2
6727,Dollar Scheme Colony,4 BHK,3463.0,6.0,310.0,4
6728,Sector 2 HSR Layout,3 BHK,1600.0,3.0,70.0,3
6729,Hebbal,4 BHK,2790.0,5.0,198.0,4
6730,Sahakara Nagar,2 BHK,1000.0,2.0,60.0,2
6731,Varthur,2 BHK,1120.0,2.0,44.24,2
6732,Jinkethimmanahalli,2 Bedroom,1200.0,2.0,85.0,2
6733,Kothnoor Dinne,2 BHK,1200.0,2.0,35.0,2
6734,Kasturi Nagar,3 BHK,1570.0,3.0,110.0,3
6735,Koramangala,3 BHK,1500.0,3.0,135.0,3
6736,Frazer Town,2 BHK,1315.0,2.0,140.0,2
6737,Electronic City Phase II,2 BHK,1140.0,2.0,33.84,2
6738,Banashankari,2 BHK,1105.0,2.0,90.0,2
6739,Electronic City,2 BHK,1200.0,2.0,34.65,2
6740,Whitefield,1 BHK,905.0,1.0,62.0,1
6741,HSR Layout,4 Bedroom,2400.0,4.0,350.0,4
6742,Kudlu Gate,2 BHK,1185.0,2.0,50.0,2
6743,Koramangala,2 BHK,1083.0,2.0,100.0,2
6744,Rayasandra,3 BHK,1458.0,3.0,60.0,3
6745,Hormavu,3 BHK,1555.0,3.0,75.0,3
6746,Devi Nagar,2 BHK,1200.0,2.0,45.0,2
6747,Sarjapur  Road,2 BHK,1308.0,2.0,58.86,2
6748,Kudlu,2 BHK,1024.0,2.0,44.0,2
6749,Parappana Agrahara,2 BHK,1194.0,2.0,47.0,2
6750,Kanakapura,3 BHK,1450.0,3.0,75.0,3
6751,Seegehalli,3 BHK,1639.0,3.0,120.0,3
6752,Whitefield,3 BHK,1870.0,3.0,138.0,3
6753,Hennur Road,2 BHK,1232.0,2.0,87.0,2
6754,Kasavanhalli,3 BHK,1719.0,3.0,184.0,3
6755,Chandapura,2 BHK,975.0,2.0,24.86,2
6756,New Gurappana Palya,3 BHK,2000.0,4.0,130.0,3
6757,Jakkur,2 BHK,1230.0,2.0,79.0,2
6758,Guddadahalli,4 Bedroom,1350.0,4.0,140.0,4
6759,KR Puram,2 BHK,1076.0,2.0,67.0,2
6760,Kumaraswami Layout,7 Bedroom,2400.0,7.0,125.0,7
6761,Vasanthpura,3 BHK,995.0,2.0,34.82,3
6762,Kodigehaali,3 BHK,2120.0,3.0,177.0,3
6763,Kasthuri Nagar East Of NGEF,6 Bedroom,2400.0,7.0,460.0,6
6764,Chikka Gowdanapalya.,6 Bedroom,850.0,6.0,78.0,6
6765,Electronic City,2 BHK,1096.0,2.0,40.55,2
6766,Horamavu Agara,2 BHK,1107.83,2.0,41.51,2
6767,Chamrajpet,1 BHK,505.0,1.0,85.0,1
6768,Sarjapur  Road,2 BHK,1320.0,2.0,115.0,2
6769,8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3
6770,Whitefield,2 BHK,1320.0,2.0,99.26,2
6771,Whitefield,3 BHK,2901.0,4.0,190.0,3
6772,GM Palaya,3 BHK,1315.0,2.0,65.0,3
6773,VGP Layout,2 BHK,1000.0,2.0,44.0,2
6774,Hosakerehalli,3 BHK,1596.0,3.0,79.8,3
6775,Bannerghatta Road,3 BHK,1750.0,3.0,130.0,3
6776,Whitefield,4 Bedroom,2403.0,4.0,270.0,4
6777,Old Madras Road,3 BHK,1350.0,3.0,47.25,3
6779,"TR Mill Road, Chamarajpet",2 BHK,1175.0,2.0,79.0,2
6780,Talaghattapura,2 BHK,921.0,2.0,29.47,2
6781,Malleshwaram,4 Bedroom,4000.0,4.0,1100.0,4
6782,Sultan Palaya,3 BHK,1713.0,3.0,125.0,3
6783,Ittamadu,2 BHK,1200.0,2.0,43.0,2
6784,8th Phase JP Nagar,3 Bedroom,1900.0,4.0,90.0,3
6785,Kudlu Gate,3 BHK,1664.0,3.0,68.0,3
6786,Binny Pete,3 BHK,1795.0,3.0,139.0,3
6787,Kereguddadahalli,1 BHK,600.0,1.0,19.5,1
6788,Hoodi,2 BHK,1240.0,2.0,65.0,2
6789,Hegde Nagar,3 BHK,1965.0,4.0,132.0,3
6790,Vishveshwarya Layout,3 Bedroom,600.0,4.0,99.0,3
6791,Sarjapur,4 Bedroom,4111.0,4.0,370.0,4
6792,Electronics City Phase 1,2 BHK,1200.0,2.0,59.76,2
6793,Ganga Nagar,2 BHK,1112.0,2.0,68.0,2
6794,Raja Rajeshwari Nagar,3 BHK,3000.0,3.0,60.0,3
6795,Mahadevpura,2 BHK,1136.0,2.0,64.5,2
6796,Jigani,2 BHK,914.0,2.0,55.0,2
6797,Poorna Pragna Layout,3 BHK,1270.0,2.0,50.79,3
6798,Rachenahalli,2 BHK,1050.0,2.0,47.25,2
6799,Marathahalli,3 BHK,1385.0,2.0,68.5,3
6800,Medahalli,2 BHK,990.0,2.0,35.0,2
6801,Yelahanka,2 BHK,845.0,2.0,43.0,2
6802,Whitefield,2 BHK,1485.0,2.0,96.51,2
6803,Kanakapura,3 BHK,1460.0,2.0,43.79,3
6804,Thanisandra,2 BHK,1450.0,2.0,57.0,2
6805,HSR Layout,3 BHK,1360.0,2.0,53.0,3
6806,Singasandra,2 BHK,1375.0,2.0,58.0,2
6807,Uttarahalli,2 BHK,1125.0,2.0,48.0,2
6808,Banashankari,1 BHK,720.0,1.0,60.0,1
6809,7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3
6810,Green View Layout,2 BHK,1107.0,2.0,40.0,2
6811,Maruthi Nagar,2 BHK,1158.0,2.0,75.0,2
6812,Yelachenahalli,2 BHK,800.0,1.0,30.0,2
6813,Sector 2 HSR Layout,9 Bedroom,600.0,9.0,90.0,9
6814,Bhoganhalli,3 BHK,1760.0,3.0,128.0,3
6815,Nandi Hills,4 Bedroom,3200.0,4.0,200.0,4
6816,HAL 2nd Stage,2 Bedroom,600.0,3.0,145.0,2
6817,TC Palaya,3 Bedroom,1350.0,3.0,60.0,3
6818,Giri Nagar,6 Bedroom,600.0,6.0,100.0,6
6819,Huskur,2 BHK,1125.0,2.0,32.49,2
6820,Frazer Town,3 BHK,1706.0,3.0,154.0,3
6821,BTM Layout,3 BHK,1600.0,3.0,112.0,3
6822,Ramesh Nagar,2 BHK,1200.0,2.0,90.0,2
6823,Whitefield,3 BHK,1755.0,3.0,101.0,3
6824,Hulimavu,2 BHK,1200.0,2.0,50.0,2
6825,BEML Layout,2 BHK,1200.0,2.0,67.0,2
6826,Chokkanahalli,2 BHK,1266.67,2.0,69.0,2
6827,Kariyammana Agrahara,3 BHK,1800.0,3.0,90.0,3
6828,Sector 7 HSR Layout,3 Bedroom,1200.0,4.0,275.0,3
6829,2nd Phase Judicial Layout,3 BHK,1300.0,3.0,64.0,3
6830,Nirman Layout,3 Bedroom,800.0,3.0,60.0,3
6831,Whitefield,4 Bedroom,4800.0,5.0,550.0,4
6832,Mysore Road,2 BHK,1029.5,2.0,50.855,2
6833,Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,40.0,2
6834,NS Palya,2 Bedroom,2000.0,2.0,160.0,2
6835,Panathur,2 BHK,1210.0,2.0,80.0,2
6836,Arekere,4 BHK,2710.0,6.0,142.0,4
6837,Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,39.0,2
6838,Rajaji Nagar,5 BHK,7500.0,8.0,1700.0,5
6839,HOSUR MAIN ROAD,3 BHK,1464.0,3.0,56.0,3
6840,Electronic City,2 BHK,1017.0,2.0,27.0,2
6841,Sarjapur  Road,2 BHK,920.0,2.0,40.0,2
6842,HRBR Layout,4 Bedroom,1200.0,3.0,180.0,4
6843,Nyanappana Halli,5 Bedroom,1000.0,5.0,140.0,5
6844,Munnekollal,3 BHK,1750.0,3.0,86.5,3
6845,Dasanapura,2 BHK,1163.0,2.0,65.0,2
6846,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3
